round,mae_mm,bias_mm,rmse_mm
1,1.41,+0.16,1.75
2,1.39,+0.03,1.73
3,1.41,-0.00,1.76
4,1.35,-0.09,1.68
5,1.37,-0.11,1.71
6,1.35,-0.09,1.70
7,1.40,-0.18,1.75
8,1.39,-0.10,1.73
9,1.38,-0.06,1.71
10,1.36,-0.08,1.71
11,1.39,-0.02,1.74
12,1.38,-0.13,1.73
13,1.37,-0.05,1.69
14,1.38,+0.05,1.70
15,1.35,+0.08,1.66
16,1.43,-0.03,1.76
17,1.44,+0.17,1.74
18,1.39,+0.10,1.71
19,1.37,-0.05,1.69
20,1.32,-0.08,1.65
21,1.37,+0.05,1.69
22,1.34,-0.04,1.67
23,1.38,-0.03,1.72
24,1.41,-0.10,1.76
25,1.36,-0.01,1.69
26,1.39,+0.03,1.72
27,1.41,+0.03,1.74
28,1.35,-0.04,1.68
29,1.40,+0.01,1.74
30,1.43,+0.06,1.77
31,1.35,-0.04,1.70
32,1.38,-0.02,1.71
33,1.40,+0.04,1.75
34,1.44,+0.12,1.76
35,1.39,-0.04,1.73
36,1.38,-0.06,1.70
37,1.42,-0.00,1.75
38,1.40,-0.01,1.74
39,1.35,-0.02,1.69
40,1.41,+0.12,1.74
41,1.39,+0.07,1.72
42,1.36,+0.04,1.71
43,1.39,-0.00,1.73
44,1.43,+0.08,1.75
45,1.44,+0.03,1.77
46,1.40,+0.10,1.73
47,1.37,+0.10,1.71
48,1.38,+0.07,1.70
49,1.41,+0.01,1.74
50,1.39,-0.06,1.74
